1,哎哟,āiyō,あっ、あれっ,HSK6-1,
2,挨,āi,順を追って,HSK6-2,
3,癌症,áizhèng,癌,HSK6-3,
4,爱不释手,àibùshìshǒu,大切にして手放すに忍びない,HSK6-4,
5,爱戴,àidài,敬愛する,HSK6-5,
6,暧昧,àimèi,あいまいである,HSK6-6,
7,安居乐业,ānjūlèyè,安穏に暮くらし愉快に働はたらく,HSK6-7,
8,安宁,ānníng,平穏である,HSK6-8,
9,安详,ānxiáng,おっとりしている,HSK6-9,
10,安置,ānzhì,据え置く,HSK6-10,
11,案件,ànjiàn,(法律)事件,HSK6-11,
12,案例,ànlì,判例,HSK6-12,
13,按摩,ànmó,マッサージ,HSK6-13,
14,暗示,ànshì,暗示する,HSK6-14,
15,昂贵,ángguì,値段が高い,HSK6-15,
16,凹凸,āotú,均等でないこと,HSK6-16,
17,熬,áo,煮る,HSK6-17,
18,奥秘,àomì,神秘,HSK6-18,
19,扒,bā,すがりつく,HSK6-19,
20,疤,bā,傷跡,HSK6-20,
21,巴不得,bābudé,待ち望む,HSK6-21,
22,巴结,bājié,取り入る,HSK6-22,
23,拔苗助长,bámiáozhùzhǎng,功を焦ってやり方を間違えるとかえって悪い結果を招く,HSK6-23,
24,把关,bǎguān,関所を守る,HSK6-24,
25,把手,bǎshǒu,ハンドル,HSK6-25,
26,把戏,bǎxì,軽業,HSK6-26,
27,霸道,bàdào,覇道,HSK6-27,
28,罢工,bàgōng,ストライキをする,HSK6-28,
29,掰,bāi,（両手で持って）2つに割る,HSK6-29,
30,百分点,bǎifēndiǎn,ポイント,HSK6-30,
31,摆脱,bǎituō,逃れる,HSK6-31,
32,拜访,bàifǎng,訪れる,HSK6-32,
33,败坏,bàihuài,汚す,HSK6-33,
34,拜年,bàinián,年始のあいさつをする,HSK6-34,
35,拜托,bàituō,お願いする,HSK6-35,
36,颁布,bānbù,発布する,HSK6-36,
37,颁发,bānfā,公布する,HSK6-37,
38,斑纹,bānwén,しま模様,HSK6-38,
39,版本,bǎnběn,版本,HSK6-39,
40,伴侣,bànlǚ,伴侶,HSK6-40,
41,伴随,bànsuí,伴う,HSK6-41,
42,半途而废,bàntú'érfèi,中途でやめる,HSK6-42,
43,扮演,bànyǎn,演じる,HSK6-43,
44,绑架,bǎngjià,拉致する,HSK6-44,
45,榜样,bǎngyàng,手本,HSK6-45,
46,磅,bàng,（重量単位）ポンド,HSK6-46,
47,包庇,bāobì,かばう,HSK6-47,
48,包袱,bāofú,ふろしき,HSK6-48,
49,包围,bāowéi,囲む,HSK6-49,
50,包装,bāozhuāng,包装する,HSK6-50,
51,保管,bǎoguǎn,保管する,HSK6-51,
52,饱和,bǎohé,飽和,HSK6-52,
53,饱经沧桑,bǎojīngcāngsāng,世の移り変わりをいやというほど経験する,HSK6-53,
54,保密,bǎomì,秘密を守る,HSK6-54,
55,保姆,bǎomǔ,"家政婦,保母",HSK6-55,
56,保守,bǎoshǒu,保守的である,HSK6-56,
57,保卫,bǎowèi,防衛する,HSK6-57,
58,保养,bǎoyǎng,養生する,HSK6-58,
59,保障,bǎozhàng,保障する,HSK6-59,
60,保重,bǎozhòng,体を大事にする,HSK6-60,
61,报仇,bàochóu,あだを討つ,HSK6-61,
62,报酬,bàochóu,報酬,HSK6-62,
63,报答,bàodá,報いる,HSK6-63,
64,报到,bàodào,到着・着任を報告する,HSK6-64,
65,爆发,bàofā,爆発する,HSK6-65,
66,报复,bàofù,仕返しをする,HSK6-66,
67,抱负,bàofù,抱負,HSK6-67,
68,曝光,pùguāng,露出する,HSK6-68,
69,暴力,bàolì,暴力,HSK6-69,
70,暴露,bàolù,暴露する,HSK6-70,
71,报社,bàoshè,新聞社,HSK6-71,
72,报销,bàoxiāo,清算する,HSK6-72,
73,抱怨,bàoyuàn,不満に思う,HSK6-73,
74,爆炸,bàozhà,爆発する,HSK6-74,
75,悲哀,bēi'āi,悲しい,HSK6-75,
76,卑鄙,bēibǐ,下劣である,HSK6-76,
77,悲惨,bēicǎn,悲惨である,HSK6-77,
78,北极,běijí,北極,HSK6-78,
79,被动,bèidòng,受動的である,HSK6-79,
80,备份,bèifèn,バックアップ,HSK6-80,
81,被告,bèigào,被告,HSK6-81,
82,贝壳,bèiké,貝殻,HSK6-82,
83,背叛,bèipàn,裏切る,HSK6-83,
84,背诵,bèisòng,暗唱する,HSK6-84,
85,备忘录,bèiwànglù,（外交文書の）覚書,HSK6-85,
86,奔波,bēnbō,駆けずり回る,HSK6-86,
87,奔驰,bēnchí,（車や馬が）疾走する,HSK6-87,
88,本能,běnnéng,本能,HSK6-88,
89,本钱,běnqián,元手,HSK6-89,
90,本人,běnrén,本人,HSK6-90,
91,本身,běnshēn,それ自身,HSK6-91,
92,本事,běnshì,腕前,HSK6-92,
93,本着,běnzhe,基づいて,HSK6-93,
94,笨拙,bènzhuō,不器用である,HSK6-94,
95,崩溃,bēngkuì,崩壊する,HSK6-95,
96,甭,béng,…する必要はない,HSK6-96,
97,蹦,bèng,跳ねる,HSK6-97,
98,迸发,bèngfā,ほとばしる,HSK6-98,
99,逼迫,bīpò,強制する,HSK6-99,
100,鼻涕,bítì,鼻水,HSK6-100,
101,比方,bǐfāng,たとえ,HSK6-101,
102,比喻,bǐyù,比喩,HSK6-102,
103,比重,bǐzhòng,比重,HSK6-103,
104,臂,bì,腕,HSK6-104,
105,弊病,bìbìng,弊害,HSK6-105,
106,必定,bìdìng,きっと、必ず,HSK6-106,
107,弊端,bìduān,弊害,HSK6-107,
108,闭塞,bìsè,塞がる,HSK6-108,
109,碧玉,bìyù,碧玉,HSK6-109,
110,鞭策,biāncè,むち打つ,HSK6-110,
111,边疆,biānjiāng,边疆,HSK6-111,
112,边界,biānjiè,境界,HSK6-112,
113,边境,biānjìng,国境地帯,HSK6-113,
114,边缘,biānyuán,ふち,HSK6-114,
115,编织,biānzhī,編む,HSK6-115,
